Activity,Index
A_PARTLYSUBMITTED-COMPLETE,1
O_SENT-COMPLETE,2
Start,0
W_Valideren aanvraag-START,3
O_SELECTED-COMPLETE,4
W_Completeren aanvraag-COMPLETE,5
O_DECLINED-COMPLETE,6
A_DECLINED-COMPLETE,7
W_Completeren aanvraag-SCHEDULE,8
W_Nabellen offertes-START,9
W_Afhandelen leads-START,10
A_CANCELLED-COMPLETE,11
A_SUBMITTED-COMPLETE,12
O_CANCELLED-COMPLETE,13
O_SENT_BACK-COMPLETE,14
A_ACCEPTED-COMPLETE,15
A_REGISTERED-COMPLETE,16
W_Valideren aanvraag-SCHEDULE,17
O_ACCEPTED-COMPLETE,18
W_Valideren aanvraag-COMPLETE,19
W_Completeren aanvraag-START,20
W_Nabellen offertes-SCHEDULE,21
W_Nabellen offertes-COMPLETE,22
W_Beoordelen fraude-COMPLETE,23
W_Wijzigen contractgegevens-SCHEDULE,24
W_Nabellen incomplete dossiers-SCHEDULE,25
W_Beoordelen fraude-SCHEDULE,26
W_Nabellen incomplete dossiers-COMPLETE,27
W_Afhandelen leads-COMPLETE,28
W_Beoordelen fraude-START,29
A_FINALIZED-COMPLETE,30
W_Afhandelen leads-SCHEDULE,31
W_Nabellen incomplete dossiers-START,32
End,37
A_ACTIVATED-COMPLETE,33
O_CREATED-COMPLETE,34
A_APPROVED-COMPLETE,35
A_PREACCEPTED-COMPLETE,36
